time,Date,S,E,I,R
164,2020-07-04,7897085199.209342,266804.79065814655,914235.0,1733761.0
165,2020-07-05,7897237228.655665,75976.34433414972,904132.0,1782663.0
166,2020-07-06,7897185897.894923,89119.10507632719,896861.0,1828122.0
167,2020-07-07,7897068481.432764,144558.56723618074,900574.0,1886386.0
168,2020-07-08,7896983361.67648,169924.3235195818,909121.0,1937593.0
169,2020-07-09,7896901048.007235,193894.9927656306,922099.0,1982958.0
170,2020-07-10,7896895898.354344,140050.64565588787,924248.0,2039803.0
171,2020-07-11,7896803526.879727,182925.12027252995,934680.0,2078868.0
172,2020-07-12,7896809139.767177,140762.23282327468,936625.0,2113473.0
173,2020-07-13,7896798289.493908,115396.50609221238,933582.0,2152732.0
174,2020-07-14,7896672295.443821,184472.55617923237,944061.0,2199171.0
175,2020-07-15,7896593144.693736,208338.30626427056,958898.0,2239619.0
176,2020-07-16,7896611900.659385,129121.34061533533,957919.0,2301059.0
177,2020-07-17,7896507197.911959,182686.08804104317,967388.0,2342728.0
178,2020-07-18,7896463173.207902,186323.79209802867,977307.0,2373196.0
179,2020-07-19,7896395089.223398,217553.77660212156,993032.0,2394325.0
180,2020-07-20,7896575383.0,0.0,965277.0,2459340.0
181,2020-07-21,7896330877.705812,181834.29418747348,974380.0,2512908.0
182,2020-07-22,7896117368.555231,312818.4447684621,1008719.0,2561094.0
183,2020-07-23,7896042022.29102,313695.7089799036,1042294.0,2601988.0
184,2020-07-24,7896198054.67828,84342.32172054246,1030333.0,2687270.0
185,2020-07-25,7896219612.0,0.0,989809.0,2790579.0
186,2020-07-26,7896051446.489229,131888.51077121927,988527.0,2828138.0
187,2020-07-27,7895997216.971583,141624.0284166341,989174.0,2871985.0
188,2020-07-28,7895748485.186148,320495.8138525648,1024604.0,2906415.0
189,2020-07-29,7895832866.950008,163818.04999118496,1028587.0,2974728.0
190,2020-07-30,7895633034.015832,288210.98416841304,1056663.0,3022092.0
191,2020-07-31,7895678815.395733,172358.60426720677,1061435.0,3087391.0
192,2020-08-01,7895542792.649207,251615.3507931916,1081497.0,3124095.0
193,2020-08-02,7895588283.836978,168786.16302202592,1084898.0,3158032.0
